url,publication_date,date_precision
https://gov.georgia.gov/press-releases/2023-01-30/gov-kemp-sk-battery-america-exceeds-hiring-goal-track-reach-3000-workers,2023-01-30,url_path
https://gov.georgia.gov/press-releases/2022-11-11/gov-kemp-battery-manufacturer-invest-257b-create-over-700-jobs-coweta,2022-11-11,url_path
https://georgia.org/press-release/korean-battery-manufacturer-create-more-2000-jobs-jackson-county,,none
https://georgia.org/press-release/anovion-technologies-create-over-400-jobs-bainbridge-invest-800m-manufacturing,,none
https://www.prnewswire.com/news-releases/ascend-elements-opens-north-americas-largest-electric-vehicle-battery-recycling-facility-in-georgia-301786245.html,2023-03-30,html_meta
https://georgia.org/blog/georgia-business-assets-powerful-magnet-electric-vehicle-industry,,none
https://www.georgia.org/it/node/53591,,none
https://www.govtech.com/policy/if-congress-cuts-ev-credits-could-georgia-pick-up-the-slack,2025-06-05,html_meta
https://www.ossoff.senate.gov/press-releases/news-sen-ossoff-helps-secure-historic-korean-investment-in-georgia-electric-vehicle-manufacturing/,,none
https://afdc.energy.gov/laws/recent?_variant=ddcpreview,,none
https://www.gama-georgia.org/,,none
https://gov.georgia.gov/press-releases/2022-11-23/gov-kemp-second-global-automotive-supplier-hyundai-metaplant-create-1500,2022-11-23,url_path
https://savannahjda.com/2022/11/second-global-automotive-supplier-for-hyundai-metaplant-to-create-1500-jobs/,,none
https://georgia.org/blogs/training-thousands-georgians-hyundai-metaplant,,none
https://georgia.org/press-releases/2023/kia-invest-over-200-million-ev9-production-expansion,,none
