query,source_type,notes
"""Georgia"" ""electric vehicle"" ""supplier""",general,
"""Georgia"" ""EV supplier""",general,
"""Georgia"" ""battery manufacturer""",general,
"""Georgia"" ""battery materials""",general,
"""Georgia"" ""electric vehicle manufacturing""",general,
"""Georgia"" ""automotive supplier"" ""EV""",general,
"""Georgia"" ""Hyundai Metaplant"" ""supplier""",general,
"""Georgia"" ""Rivian"" ""supplier""",general,
"""Georgia"" ""Kia"" ""electric vehicle""",general,
"""Georgia"" ""EV battery"" ""jobs""",general,
"""Georgia"" ""EV battery"" ""investment""",general,
"""Georgia"" ""charging infrastructure"" ""company""",general,
"""Georgia"" ""electric mobility"" ""supplier""",general,
"""Georgia"" ""battery recycling"" ""company""",general,
"""Georgia"" ""cathode"" ""battery""",general,
"""Georgia"" ""anode"" ""battery""",general,
"""Georgia"" ""electrolyte"" ""battery""",general,
"""Georgia"" ""copper foil"" ""battery""",general,
Duckyang Georgia,company,
"Duckyang Braselton, Jackson County",company,
Duckyang Georgia facility,company,
Duckyang Georgia operations,company,
Duckyang Georgia 2022,company,
Duckyang Georgia 2023,company,
Duckyang Georgia 2024,company,
Duckyang Georgia 2025,company,
Duckyang Georgia 2026,company,
Duckyang Georgia latest,company,
Duckyang Georgia recent,company,
Duckyang Georgia current,company,
Duckyang Georgia investment,company,
Duckyang Georgia investment 2022,company,
Duckyang Georgia investment 2023,company,
Duckyang Georgia investment 2024,company,
Duckyang Georgia investment 2025,company,
Duckyang Georgia investment 2026,company,
Duckyang Georgia investment latest,company,
Duckyang Georgia investment recent,company,
Duckyang Georgia investment current,company,
Duckyang Georgia jobs created,company,
Duckyang Georgia jobs created 2022,company,
Duckyang Georgia jobs created 2023,company,
Duckyang Georgia jobs created 2024,company,
Duckyang Georgia jobs created 2025,company,
Duckyang Georgia jobs created 2026,company,
Duckyang Georgia jobs created latest,company,
Duckyang Georgia jobs created recent,company,
Duckyang Georgia jobs created current,company,
Duckyang Georgia capital expenditure,company,
Duckyang Georgia capital expenditure 2022,company,
Duckyang Georgia capital expenditure 2023,company,
Duckyang Georgia capital expenditure 2024,company,
Duckyang Georgia capital expenditure 2025,company,
Duckyang Georgia capital expenditure 2026,company,
Duckyang Georgia capital expenditure latest,company,
Duckyang Georgia capital expenditure recent,company,
Duckyang Georgia capital expenditure current,company,
Duckyang Georgia expansion announcement,company,
Duckyang Georgia expansion announcement 2022,company,
Duckyang Georgia expansion announcement 2023,company,
Duckyang Georgia expansion announcement 2024,company,
Duckyang Georgia expansion announcement 2025,company,
Duckyang Georgia expansion announcement 2026,company,
Duckyang Georgia expansion announcement latest,company,
Duckyang Georgia expansion announcement recent,company,
Duckyang Georgia expansion announcement current,company,
Duckyang Georgia plant capacity,company,
Duckyang Georgia plant capacity 2022,company,
Duckyang Georgia plant capacity 2023,company,
Duckyang Georgia plant capacity 2024,company,
Duckyang Georgia plant capacity 2025,company,
Duckyang Georgia plant capacity 2026,company,
Duckyang Georgia plant capacity latest,company,
Duckyang Georgia plant capacity recent,company,
Duckyang Georgia plant capacity current,company,
Duckyang Georgia supplier,company,
Duckyang Georgia OEM customer,company,
Duckyang Georgia supply chain,company,
Duckyang Kia Georgia,company,
Duckyang Hyundai Metaplant,company,
Duckyang SK On,company,
Duckyang electric vehicle,company,
Duckyang EV battery,company,
Duckyang battery manufacturing,company,
Duckyang lithium ion,company,
Duckyang EV supply chain Georgia,company,
Duckyang Georgia press release,company,
Duckyang Georgia press release 2022,company,
Duckyang Georgia press release 2023,company,
Duckyang Georgia press release 2024,company,
Duckyang Georgia press release 2025,company,
Duckyang Georgia press release 2026,company,
Duckyang Georgia press release latest,company,
Duckyang Georgia press release recent,company,
Duckyang Georgia press release current,company,
Duckyang Georgia annual report,company,
Duckyang Georgia annual report 2022,company,
Duckyang Georgia annual report 2023,company,
Duckyang Georgia annual report 2024,company,
Duckyang Georgia annual report 2025,company,
Duckyang Georgia annual report 2026,company,
Duckyang Georgia annual report latest,company,
Duckyang Georgia annual report recent,company,
Duckyang Georgia annual report current,company,
Duckyang Georgia permit,company,
Duckyang Georgia permit 2022,company,
Duckyang Georgia permit 2023,company,
Duckyang Georgia permit 2024,company,
Duckyang Georgia permit 2025,company,
Duckyang Georgia permit 2026,company,
Duckyang Georgia permit latest,company,
Duckyang Georgia permit recent,company,
Duckyang Georgia permit current,company,
Duckyang Georgia SEC filing,company,
Duckyang Georgia SEC filing 2022,company,
Duckyang Georgia SEC filing 2023,company,
Duckyang Georgia SEC filing 2024,company,
Duckyang Georgia SEC filing 2025,company,
Duckyang Georgia SEC filing 2026,company,
Duckyang Georgia SEC filing latest,company,
Duckyang Georgia SEC filing recent,company,
Duckyang Georgia SEC filing current,company,
Duckyang Georgia PDF,company,
Duckyang Georgia PDF 2022,company,
Duckyang Georgia PDF 2023,company,
Duckyang Georgia PDF 2024,company,
Duckyang Georgia PDF 2025,company,
Duckyang Georgia PDF 2026,company,
Duckyang Georgia PDF latest,company,
Duckyang Georgia PDF recent,company,
Duckyang Georgia PDF current,company,
Duckyang Georgia announcement site:georgia.org,company,
Duckyang Georgia announcement site:georgia.org 2022,company,
Duckyang Georgia announcement site:georgia.org 2023,company,
Duckyang Georgia announcement site:georgia.org 2024,company,
Duckyang Georgia announcement site:georgia.org 2025,company,
Duckyang Georgia announcement site:georgia.org 2026,company,
Duckyang Georgia announcement site:georgia.org latest,company,
Duckyang Georgia announcement site:georgia.org recent,company,
Duckyang Georgia announcement site:georgia.org current,company,
Duckyang site:sec.gov,company,
Duckyang site:sec.gov 2022,company,
Duckyang site:sec.gov 2023,company,
Duckyang site:sec.gov 2024,company,
Duckyang site:sec.gov 2025,company,
Duckyang site:sec.gov 2026,company,
Duckyang site:sec.gov latest,company,
Duckyang site:sec.gov recent,company,
Duckyang site:sec.gov current,company,
Duckyang site:energy.gov,company,
Duckyang site:energy.gov 2022,company,
Duckyang site:energy.gov 2023,company,
Duckyang site:energy.gov 2024,company,
Duckyang site:energy.gov 2025,company,
Duckyang site:energy.gov 2026,company,
Duckyang site:energy.gov latest,company,
Duckyang site:energy.gov recent,company,
Duckyang site:energy.gov current,company,
Duckyang Georgia economic development,company,
Duckyang Georgia economic development 2022,company,
Duckyang Georgia economic development 2023,company,
Duckyang Georgia economic development 2024,company,
Duckyang Georgia economic development 2025,company,
Duckyang Georgia economic development 2026,company,
Duckyang Georgia economic development latest,company,
Duckyang Georgia economic development recent,company,
Duckyang Georgia economic development current,company,
Duckyang Georgia GDEcD,company,
Duckyang Georgia GDEcD 2022,company,
Duckyang Georgia GDEcD 2023,company,
Duckyang Georgia GDEcD 2024,company,
Duckyang Georgia GDEcD 2025,company,
Duckyang Georgia GDEcD 2026,company,
Duckyang Georgia GDEcD latest,company,
Duckyang Georgia GDEcD recent,company,
Duckyang Georgia GDEcD current,company,
Duckyang Georgia governor announcement,company,
Duckyang Georgia governor announcement 2022,company,
Duckyang Georgia governor announcement 2023,company,
Duckyang Georgia governor announcement 2024,company,
Duckyang Georgia governor announcement 2025,company,
Duckyang Georgia governor announcement 2026,company,
Duckyang Georgia governor announcement latest,company,
Duckyang Georgia governor announcement recent,company,
Duckyang Georgia governor announcement current,company,
Duckyang Georgia tax incentive,company,
Duckyang Georgia tax incentive 2022,company,
